range,exit,filter,n,win,pf,exp,total,t,hold,tgt,stp
5,ny_close,corr<=0.5,766,0.2689295039164491,0.9773571817866542,-0.05966057441252771,-45.69999999999622,-0.43666722963289945,134.1253263707572,0.0,0.7101827676240209
5,ny_close,corr>0.5,475,0.24842105263157896,0.8772308295744277,-0.3162947368421025,-150.2399999999987,-1.0501058192489716,131.4,0.0,0.728421052631579
5,range_mid,all,1251,0.539568345323741,0.8664282232101024,-0.22120703437250674,-276.73000000000593,-2.6200887896416507,15.65947242206235,0.5363709032773781,0.45883293365307753
5,range_mid,corr<=0.5,772,0.5453367875647669,0.8827720409309268,-0.19469559585492602,-150.30500000000288,-1.829473480519068,15.790155440414507,0.5414507772020726,0.4520725388601036
5,range_mid,corr>0.5,479,0.5302713987473904,0.8398893124453803,-0.2639352818371673,-126.42500000000314,-1.9021090065862747,15.448851774530272,0.5281837160751566,0.4697286012526096
5,range_far,all,1251,0.4276578737010392,0.8698397799120098,-0.27267785771383124,-341.12000000000285,-2.399065022919422,32.62589928057554,0.4116706634692246,0.5667466027178257
5,range_far,corr<=0.5,772,0.4261658031088083,0.8600859820307194,-0.3001554404145133,-231.72000000000426,-1.965769533401066,32.58419689119171,0.4067357512953368,0.5712435233160622
5,range_far,corr>0.5,479,0.430062630480167,0.8865862887591889,-0.2283924843423773,-109.39999999999873,-1.3827537584425649,32.693110647181626,0.4196242171189979,0.5594989561586639
5,prev_day,all,1048,0.28530534351145037,0.8312730046724531,-0.4220992366412176,-442.3599999999961,-2.453858036347147,104.15553435114504,0.10973282442748092,0.6946564885496184
5,prev_day,corr<=0.5,646,0.29102167182662536,0.8927311264498538,-0.26871517027863107,-173.58999999999568,-1.2458369456123972,107.31424148606811,0.10526315789473684,0.6888544891640866
5,prev_day,corr>0.5,402,0.27611940298507465,0.7321620759756048,-0.6685820895522397,-268.7700000000004,-2.452573993850366,99.07960199004975,0.11691542288557213,0.7039800995024875
5,asia,all,947,0.3273495248152059,0.8751973599356014,-0.2963146779303014,-280.60999999999547,-1.9921386456249006,78.71172122492081,0.22175290390707497,0.6546990496304118
5,asia,corr<=0.5,583,0.3190394511149228,0.855144502964799,-0.35240137221268597,-205.44999999999592,-1.8948492345416783,83.61921097770154,0.19897084048027444,0.660377358490566
5,asia,corr>0.5,364,0.34065934065934067,0.9094588734158928,-0.20648351648351543,-75.15999999999961,-0.8398564841111723,70.85164835164835,0.25824175824175827,0.6456043956043956
5,london,all,1245,0.3132530120481928,0.8895915020327944,-0.2698232931726913,-335.9300000000007,-2.108283462522073,81.17670682730923,0.20883534136546184,0.6690763052208836
5,london,corr<=0.5,769,0.31209362808842656,0.8715645760318043,-0.31928478543563193,-245.53000000000094,-1.8703406775196945,83.08842652795839,0.20156046814044212,0.6697009102730819
5,london,corr>0.5,476,0.31512605042016806,0.9200643729386075,-0.18991596638655409,-90.39999999999975,-1.0452278530159727,78.08823529411765,0.22058823529411764,0.6680672268907563
15,ny+30m,all,626,0.4680511182108626,0.7293912564796482,-0.2826996805111898,-176.97000000000483,-3.0332431153084984,7.787539936102236,0.0,0.0878594249201278
15,ny+30m,corr<=0.5,393,0.4580152671755725,0.6645880354608215,-0.36679389312977845,-144.15000000000293,-3.016276006932391,7.748091603053435,0.0,0.0916030534351145
15,ny+30m,corr>0.5,233,0.48497854077253216,0.8536128456734975,-0.14085836909872065,-32.82000000000191,-1.0887037297107143,7.854077253218884,0.0,0.0815450643776824
15,ny+60m,all,1103,0.4614687216681777,0.8450201112288893,-0.2902901178603835,-320.190000000003,-2.23759550425368,24.85494106980961,0.0,0.2665457842248413
15,ny+60m,corr<=0.5,676,0.4526627218934911,0.7633125147999061,-0.4731508875739625,-319.84999999999866,-2.5163247488216003,24.85207100591716,0.0,0.28106508875739644
15,ny+60m,corr>0.5,427,0.47540983606557374,0.9995242426362497,-0.0007962529274107268,-0.34000000000438035,-0.4301147135861502,24.859484777517565,0.0,0.24355971896955503
15,ny+90m,all,1185,0.4379746835443038,0.8863605651566774,-0.2554767932489504,-302.7400000000062,-2.013513099857736,43.08438818565401,0.0,0.3518987341772152
15,ny+90m,corr<=0.5,728,0.4368131868131868,0.8450050930268693,-0.36995879120879205,-269.3300000000006,-1.7732537030221902,42.82967032967033,0.0,0.3585164835164835
15,ny+90m,corr>0.5,457,0.43982494529540483,0.963934497015226,-0.07310722100657699,-33.41000000000568,-0.9964502530077815,43.49015317286652,0.0,0.3413566739606127
15,ny+2h,all,1192,0.4186241610738255,0.8776965809139613,-0.3102936241610734,-369.86999999999955,-2.1363862772661975,61.29194630872483,0.0,0.40939597315436244
15,ny+2h,corr<=0.5,731,0.4117647058823529,0.8209584677338582,-0.4890013679890532,-357.4599999999979,-2.157448059315033,60.84815321477428,0.0,0.42270861833105333
15,ny+2h,corr>0.5,461,0.42950108459869846,0.9879242565779219,-0.0269197396963163,-12.410000000001816,-0.6837750269005586,61.995661605206074,0.0,0.3882863340563991
15,ny_lunch,all,1192,0.40687919463087246,0.8736533567245676,-0.34317953020134523,-409.0700000000035,-2.1170268248218007,78.35989932885906,0.0,0.44546979865771813
15,ny_lunch,corr<=0.5,731,0.4021887824897401,0.808804480431087,-0.555280437756496,-405.9099999999986,-2.3307487224327406,77.50341997264022,0.0,0.45964432284541723
15,ny_lunch,corr>0.5,461,0.41431670281995664,0.9971650802479618,-0.006854663774414314,-3.160000000004999,-0.48413001267391226,79.71800433839479,0.0,0.4229934924078091
15,ny_close,all,1176,0.3647959183673469,0.925658486173833,-0.23978741496598985,-281.99000000000404,-1.2171261969479028,195.27636054421768,0.0,0.548469387755102
15,ny_close,corr<=0.5,720,0.3625,0.9024120961883382,-0.330236111111112,-237.77000000000066,-1.0351652360809622,191.5,0.0,0.5583333333333333
15,ny_close,corr>0.5,456,0.3684210526315789,0.9674062062357168,-0.09697368421053354,-44.220000000003296,-0.6507845615193106,201.2390350877193,0.0,0.5328947368421053
15,range_mid,all,1192,0.5478187919463087,0.8405372936834025,-0.3841820469798708,-457.945000000006,-2.9447797314809385,57.00922818791946,0.5310402684563759,0.4085570469798658
15,range_mid,corr<=0.5,731,0.5499316005471956,0.7918140052151105,-0.5275307797537614,-385.6249999999996,-2.721911037974826,54.36388508891929,0.5362517099863201,0.4117647058823529
15,range_mid,corr>0.5,461,0.544468546637744,0.929062570500931,-0.15687635574838701,-72.32000000000642,-1.3064424013287006,61.20390455531454,0.5227765726681128,0.403470715835141
15,range_far,all,1186,0.43929173693086004,0.8625953317718728,-0.4016526138279949,-476.36000000000195,-2.523035034714398,104.04300168634065,0.357504215851602,0.48903878583473864
15,range_far,corr<=0.5,726,0.4366391184573003,0.787378136665982,-0.6542837465564699,-475.0099999999972,-2.8095333074305033,101.46005509641873,0.3526170798898072,0.4972451790633609
15,range_far,corr>0.5,460,0.4434782608695652,0.9989049140965914,-0.0029347826087060816,-1.3500000000047976,-0.5766529089586875,108.1195652173913,0.3652173913043478,0.47608695652173916
15,prev_day,all,1013,0.3899308983218164,0.914660887794274,-0.2620138203356426,-265.4200000000059,-1.3732512326173094,170.13326752221124,0.1194471865745311,0.5261599210266535
15,prev_day,corr<=0.5,613,0.3931484502446982,0.9067897680539565,-0.295791190864601,-181.3200000000004,-0.9288970873716038,168.18923327895595,0.12561174551386622,0.5269168026101142
15,prev_day,corr>0.5,400,0.385,0.9278049617992922,-0.21025000000001406,-84.10000000000562,-1.0330726328376763,173.1125,0.11,0.525
15,asia,all,928,0.41594827586206895,0.899727894616381,-0.2974245689655222,-276.0100000000046,-1.5315360481059992,147.06896551724137,0.21336206896551724,0.5043103448275862
15,asia,corr<=0.5,562,0.4128113879003559,0.8671706263498917,-0.4092704626334546,-230.0100000000015,-1.3587498631070858,148.8167259786477,0.20284697508896798,0.5071174377224199
15,asia,corr>0.5,366,0.4207650273224044,0.9549456899675782,-0.12568306010929792,-46.00000000000304,-0.7567343795780758,144.38524590163934,0.22950819672131148,0.5
15,london,all,1178,0.39134125636672323,0.8296830300327399,-0.5316723259762366,-626.3100000000067,-2.9916431961787793,146.6850594227504,0.19779286926994907,0.5314091680814941
15,london,corr<=0.5,722,0.39335180055401664,0.7977901870333216,-0.6575207756232705,-474.73000000000127,-2.558448525506959,142.99861495844874,0.20498614958448755,0.5373961218836565
15,london,corr>0.5,456,0.3881578947368421,0.8859966456329265,-0.33241228070176587,-151.58000000000524,-1.5920251360737772,152.5219298245614,0.18640350877192982,0.5219298245614035
30,ny+60m,all,758,0.46965699208443273,0.7972710213716209,-0.31498680738786333,-238.76000000000042,-2.635049337671955,17.440633245382585,0.0,0.09894459102902374
30,ny+60m,corr<=0.5,463,0.46220302375809935,0.7816600769746109,-0.359006479481637,-166.21999999999792,-2.0526893269934927,17.688984881209503,0.0,0.09287257019438445
30,ny+60m,corr>0.5,295,0.48135593220338985,0.8258092402266772,-0.2458983050847541,-72.54000000000246,-1.6509258974077667,17.050847457627118,0.0,0.10847457627118644
30,ny+90m,all,982,0.4653767820773931,0.8434753345474719,-0.3220773930753526,-316.2799999999963,-2.258107316267129,36.79735234215886,0.0,0.17922606924643583
30,ny+90m,corr<=0.5,599,0.4540901502504174,0.8090832255024458,-0.4261268781302068,-255.24999999999386,-1.9361276035039647,36.736227045075125,0.0,0.19031719532554256
30,ny+90m,corr>0.5,383,0.4830287206266319,0.9107317858030886,-0.15934725848564596,-61.0300000000024,-1.1730976605964283,36.89295039164491,0.0,0.1618798955613577
30,ny+2h,all,998,0.4559118236472946,0.8532995832587439,-0.35307615230460465,-352.36999999999546,-2.169979347351679,59.71943887775551,0.0,0.23647294589178355
30,ny+2h,corr<=0.5,607,0.4464579901153213,0.8058681622045121,-0.514382207578245,-312.22999999999473,-2.152575751228071,59.481054365733115,0.0,0.2487644151565074
30,ny+2h,corr>0.5,391,0.47058823529411764,0.9494222748636006,-0.10265984654731676,-40.14000000000085,-0.7137612680740975,60.089514066496164,0.0,0.21739130434782608
30,ny_lunch,all,998,0.4498997995991984,0.8729482091234262,-0.33776553106212365,-337.0899999999994,-1.8784548504296938,82.0440881763527,0.0,0.27354709418837675
30,ny_lunch,corr<=0.5,607,0.4415156507413509,0.8087540384239543,-0.5480724876441418,-332.6799999999941,-2.190780909019492,81.40856672158155,0.0,0.28500823723228996
30,ny_lunch,corr>0.5,391,0.4629156010230179,0.9951731007081585,-0.011278772378530536,-4.410000000005439,-0.23431648059169274,83.0306905370844,0.0,0.2557544757033248
30,ny_close,all,975,0.4266666666666667,0.9077208419090989,-0.3209743589743566,-312.9499999999977,-1.352134946540349,235.95897435897436,0.0,0.39692307692307693
30,ny_close,corr<=0.5,593,0.4266441821247892,0.9240439093484429,-0.2821416526138259,-167.30999999999875,-0.8969401384055629,232.6391231028668,0.0,0.40809443507588533
30,ny_close,corr>0.5,382,0.42670157068062825,0.8774713533341197,-0.3812565445026156,-145.63999999999916,-1.0731060577709315,241.11256544502618,0.0,0.3795811518324607
30,range_mid,all,992,0.5504032258064516,0.8205130442065316,-0.518492943548382,-514.344999999995,-3.0566182924214225,108.70463709677419,0.4889112903225806,0.3336693548387097
30,range_mid,corr<=0.5,602,0.5514950166112956,0.7931630461495748,-0.6430980066445101,-387.1449999999951,-2.652120243996822,105.58970099667773,0.49335548172757476,0.34053156146179403
30,range_mid,corr>0.5,390,0.5487179487179488,0.8720193178388169,-0.3261538461538463,-127.20000000000005,-1.5569931299808022,113.51282051282051,0.48205128205128206,0.3230769230769231
30,range_far,all,984,0.4573170731707317,0.8193749713184363,-0.5999999999999939,-590.399999999994,-2.9144342888718784,172.7997967479675,0.27235772357723576,0.37398373983739835
30,range_far,corr<=0.5,596,0.45805369127516776,0.7830997305849572,-0.774010067114086,-461.3099999999953,-2.7001722559555477,170.6795302013423,0.2634228187919463,0.3875838926174497
30,range_far,corr>0.5,388,0.45618556701030927,0.8869436513636143,-0.33270618556700693,-129.0899999999987,-1.2814440900131938,176.05670103092783,0.2860824742268041,0.35309278350515466
