range,exit,filter,stop,n,win,pf,exp,total,t,hold,tgt,stp
30,ny_close,corr<=0.5,range_opp,594,0.44276094276094274,0.9846922990035509,-0.05247474747474788,-31.170000000000243,-0.19958407184115154,270.1599326599327,0.0,0.2962962962962963
30,ny_close,all,none,987,0.47720364741641336,0.9200168640729384,-0.3075379939209695,-303.5399999999969,-0.9744086634468224,341.45896656534956,0.0,0.0
30,prev_day,all,range_opp,633,0.4707740916271722,0.9431998177921807,-0.17334913112164108,-109.7299999999988,-0.7377945560025857,221.6745655608215,0.18009478672985782,0.29541864139020535
30,prev_day,corr<=0.5,range_opp,382,0.4790575916230366,0.991508094771355,-0.026308900523554436,-10.049999999997794,-0.07037027638579872,216.8979057591623,0.2094240837696335,0.28272251308900526
30,prev_day,all,none,623,0.5088282504012841,0.8415153160411247,-0.5809951845906842,-361.9599999999963,-1.6324187584421,290.03210272873196,0.1958266452648475,0.0
30,asia,all,range_opp,423,0.4988179669030733,0.8472654547718378,-0.4639952718676096,-196.26999999999884,-1.3383143580512074,177.3758865248227,0.3333333333333333,0.2978723404255319
30,asia,corr<=0.5,range_opp,258,0.5,0.8723239618261552,-0.40290697674418335,-103.9499999999993,-0.8577653221752701,181.56976744186048,0.34108527131782945,0.2713178294573643
30,asia,all,none,417,0.5251798561151079,0.7460360419829714,-0.9226139088728946,-384.72999999999706,-2.014278228375765,246.99040767386091,0.3501199040767386,0.0
30,london,all,range_opp,507,0.52465483234714,0.8778116373773535,-0.35272189349112715,-178.83000000000146,-1.3952377152808462,158.73767258382642,0.388560157790927,0.29980276134122286
30,london,corr<=0.5,range_opp,315,0.5333333333333333,0.956657882840666,-0.1247936507936559,-39.31000000000161,-0.5307762699817279,158.87301587301587,0.40634920634920635,0.2761904761904762
30,london,all,none,499,0.56312625250501,0.7585960090469246,-0.8448897795591158,-421.5999999999988,-2.324666428446613,228.08617234468937,0.4168336673346693,0.0
30,prev_hour,all,range_opp,289,0.5813148788927336,0.8766497872111214,-0.3169204152249086,-91.58999999999858,-0.9600107280009683,120.70934256055364,0.5051903114186851,0.2906574394463668
30,prev_hour,corr<=0.5,range_opp,183,0.6120218579234973,0.9738045007032365,-0.06513661202185425,-11.919999999999327,-0.12900034626632653,113.63387978142076,0.546448087431694,0.2568306010928962
30,prev_hour,all,none,288,0.6111111111111112,0.6865642521205184,-1.0598263888888784,-305.22999999999695,-2.29053122288194,189.73958333333334,0.5277777777777778,0.0
30,measured_move,all,range_opp,1003,0.522432701894317,1.0030707799913383,0.009262213359914295,9.289999999994038,0.1392803782074099,172.81655034895314,0.37387836490528414,0.2741774675972084
30,measured_move,corr<=0.5,range_opp,596,0.5251677852348994,1.0565945069876812,0.17401006711408581,103.70999999999515,0.5945801270614509,170.6795302013423,0.3875838926174497,0.2634228187919463
30,measured_move,all,none,994,0.5523138832997988,0.9190315608447811,-0.27851106639839196,-276.8400000000016,-0.9792794950790211,236.3682092555332,0.3963782696177062,0.0
60,ny+90m,all,range_opp,516,0.3875968992248062,0.6144950955020051,-0.5918023255813879,-305.36999999999614,-4.147286118918511,17.325581395348838,0.0,0.005813953488372093
60,ny+90m,corr<=0.5,range_opp,311,0.40514469453376206,0.703167749658006,-0.4465273311897046,-138.86999999999813,-2.314341570644569,17.170418006430868,0.0,0.003215434083601286
60,ny+90m,all,none,516,0.3875968992248062,0.6137667545109551,-0.593624031007745,-306.3099999999964,-4.1542025290881,17.4031007751938,0.0,0.0
60,ny+2h,all,range_opp,556,0.420863309352518,0.7206052829520841,-0.5678597122302103,-315.7299999999969,-2.968137077268477,45.530575539568346,0.0,0.02697841726618705
60,ny+2h,corr<=0.5,range_opp,330,0.43333333333333335,0.8070086264486344,-0.40269696969696656,-132.88999999999896,-1.4864834347868183,45.75757575757576,0.0,0.021212121212121213
60,ny+2h,all,none,556,0.420863309352518,0.7229082515868459,-0.5613848920863255,-312.129999999997,-2.9323585635170835,46.15107913669065,0.0,0.0
60,ny_lunch,all,range_opp,556,0.4010791366906475,0.7081129205772172,-0.7075899280575498,-393.4199999999977,-3.0238773211046777,74.41546762589928,0.0,0.046762589928057555
60,ny_lunch,corr<=0.5,range_opp,330,0.4121212121212121,0.7983458857412289,-0.4795151515151522,-158.24000000000024,-1.3094294449908548,74.75757575757575,0.0,0.03939393939393939
60,ny_lunch,all,none,556,0.4028776978417266,0.7051396656299183,-0.717841726618703,-399.11999999999887,-3.0061201606181496,76.15107913669065,0.0,0.0
60,ny_close,all,range_opp,548,0.46897810218978103,0.8555051924952695,-0.4595620437956115,-251.83999999999511,-1.508648278589275,285.9580291970803,0.0,0.15875912408759124
60,ny_close,corr<=0.5,range_opp,323,0.47678018575851394,0.8912811618472378,-0.3376780185758384,-109.0699999999958,-0.6697599197754353,290.5108359133127,0.0,0.13622291021671826
60,ny_close,all,none,544,0.48161764705882354,0.8207267644249213,-0.610606617647051,-332.16999999999575,-1.6127069162496166,316.12132352941177,0.0,0.0
60,prev_day,all,range_opp,313,0.48562300319488816,0.8733825959529838,-0.38923322683705597,-121.82999999999852,-1.0694732632696298,248.6261980830671,0.14376996805111822,0.17252396166134185
60,prev_day,corr<=0.5,range_opp,185,0.5027027027027027,0.9658701193903997,-0.10059459459457946,-18.6099999999972,-0.14277029522084211,247.8108108108108,0.16756756756756758,0.14054054054054055
60,prev_day,all,none,310,0.5032258064516129,0.8325073095911433,-0.5636129032258036,-174.71999999999912,-1.2343002561167586,280.5806451612903,0.15161290322580645,0.0
60,asia,all,range_opp,179,0.547486033519553,0.9052492197105828,-0.2798324022346401,-50.090000000000586,-0.6558080516311376,206.9832402234637,0.3128491620111732,0.18435754189944134
60,asia,corr<=0.5,range_opp,116,0.5948275862068966,1.1228895742583722,0.33318965517241983,38.6500000000007,0.6974820637273803,203.57758620689654,0.3448275862068966,0.13793103448275862
60,asia,all,none,177,0.559322033898305,0.8466011979384311,-0.4977401129943541,-88.10000000000068,-0.8402702117795484,240.16949152542372,0.3220338983050847,0.0
60,london,all,range_opp,209,0.5598086124401914,0.857714479484569,-0.4015311004784768,-83.92000000000165,-1.0396383782071426,184.23444976076556,0.37320574162679426,0.20095693779904306
60,london,corr<=0.5,range_opp,127,0.5669291338582677,1.0175127203881154,0.046614173228335554,5.919999999998615,0.1752139596455509,191.3779527559055,0.36220472440944884,0.16535433070866143
60,london,all,none,206,0.5776699029126213,0.7728277097641078,-0.738640776699034,-152.16000000000102,-1.3903811971461373,221.2378640776699,0.38349514563106796,0.0
60,prev_hour,all,range_opp,100,0.57,0.7856779537857943,-0.5898999999999798,-58.98999999999798,-1.2922861526946263,154.3,0.45,0.24
60,prev_hour,corr<=0.5,range_opp,64,0.640625,1.1168534800993535,0.27203125000004097,17.410000000002622,0.4574422029497769,157.890625,0.5,0.140625
60,prev_hour,all,none,99,0.5858585858585859,0.7307173190242703,-0.8262626262625977,-81.79999999999717,-1.3860810348235697,198.13131313131314,0.45454545454545453,0.0
60,measured_move,all,range_opp,548,0.49452554744525545,0.9092379998459084,-0.2794525547445166,-153.1399999999951,-1.1165961191182185,241.25912408759123,0.21350364963503649,0.15145985401459855
60,measured_move,corr<=0.5,range_opp,323,0.5139318885448917,1.057371734538084,0.16984520123840893,54.86000000000609,0.4937245258737802,241.625386996904,0.22910216718266255,0.12693498452012383
60,measured_move,all,none,545,0.5064220183486239,0.8580233958179174,-0.47166972477063335,-257.05999999999517,-1.400721775581208,269.7522935779817,0.21834862385321102,0.0
